,id_city,city_name,dens_pop
2619,01381,Saint-Nizier-le-Désert,36.9
2627,01382,Sainte-Olive,37.75
2635,01383,Saint-Paul-de-Varax,60.15
2643,01384,Saint-Rambert-en-Bugey,76.64
2651,01385,Saint-Rémy,133.47
2659,01386,Saint-Sorlin-en-Bugey,124.26
2667,01387,Saint-Sulpice,48.67
2675,01388,Saint-Trivier-de-Courtes,66.67
2683,01389,Saint-Trivier-sur-Moignans,43.68
2691,01390,Saint-Vulbas,58.12
2699,01391,Salavre,34.88
2707,01392,Samognat,46.82
2715,01393,Sandrans,18.75
2723,01396,Sault-Brénaz,174.15
2731,01397,Sauverny,517.46
2739,01398,Savigneux,96.34
2747,01399,Ségny,650.31
2755,01400,Seillonnaz,14.49
2763,01401,Sergy,229.07
2771,01402,Sermoyer,39.04
2779,01403,Serrières-de-Briord,161.27
2787,01404,Serrières-sur-Ain,16.5
2795,01405,Servas,98.08
2803,01406,Servignat,21.78
2811,01407,Seyssel,417.5
2819,01408,Simandre-sur-Suran,40.55
2827,01410,Sonthonnax-la-Montagne,21.22
2835,01411,Souclin,20.7
2843,01412,Sulignat,55.09
2851,01415,Talissieu,103.96
2859,01416,Tenay,77.29
2867,01418,Thil,211.07
2875,01419,Thoiry,208.12
2883,01420,Thoissey,1261.19
2891,01421,Torcieu,68
2899,01422,Tossiat,133.24
2907,01423,Toussieux,237.13
2915,01424,Tramoyes,137.35
2923,01425,La Tranclière,19.53
2931,01426,Val-Revermont,55.88
2939,01427,Trévoux,1211.91
2947,01428,Valeins,28.9
2955,01429,Vandeins,75.21
2963,01430,Varambon,77.47
2971,01431,Vaux-en-Bugey,149.27
2979,01432,Verjon,63.21
2987,01433,Vernoux,30.69
2995,01434,Versailleux,25.15
3003,01435,Versonnex,366.21
3011,01436,Vesancy,44.95
3019,01437,Vescours,17.87
3027,01439,Vésines,25.52
3035,01441,Vieu-d'Izenave,30.93
3043,01443,Villars-les-Dombes,201.95
3051,01444,Villebois,82.71
3059,01445,Villemotier,44.37
3067,01446,Villeneuve,57.78
3075,01447,Villereversure,76.91
3083,01448,Villes,42.24
3091,01449,Villette-sur-Ain,39.16
3099,01450,Villieu-Loyes-Mollon,233.63
3107,01451,Viriat,146.46
3115,01452,Virieu-le-Grand,90.2
3123,01453,Arvière-en-Valromey,17.32
3131,01454,Virignin,141.12
3139,01456,Vongnes,34.63
3147,01457,Vonnas,178.61
3155,02001,Abbécourt,84.23
3163,02002,Achery,88.41
3171,02003,Acy,87.49
3179,02004,Agnicourt-et-Séchelles,16.87
3187,02005,Aguilcourt,35.95
3195,02006,Aisonville-et-Bernoville,30.01
3203,02007,Aizelles,25
3211,02008,Aizy-Jouy,20.1
3219,02009,Alaincourt,90.51
3227,02010,Allemant,33.72
3235,02011,Ambleny,65.7
3243,02012,Ambrief,15.78
3251,02013,Amifontaine,13.84
3259,02014,Amigny-Rouy,55.73
3267,02015,Ancienville,18.7
3275,02016,Andelain,74.23
3283,02017,Anguilcourt-le-Sart,35.34
3291,02018,Anizy-le-Grand,125.13
3299,02019,Annois,61.36
3307,02020,Any-Martin-Rieux,25.66
3315,02021,Archon,13.19
3323,02022,Arcy-Sainte-Restitue,15.25
3331,02023,Armentières-sur-Ourcq,14.98
3339,02024,Arrancy,9.16
3347,02025,Artemps,58.16
3355,02027,Assis-sur-Serre,26.62
3363,02028,Athies-sous-Laon,168.78
3371,02029,Attilly,29.97
3379,02030,Aubencheul-aux-Bois,121.8
3387,02031,Aubenton,27.89
3395,02032,Aubigny-aux-Kaisnes,68.01
3403,02033,Aubigny-en-Laonnois,23.58
3411,02034,Audignicourt,21.38
3419,02035,Audigny,26.1
3427,02036,Augy,27.69
3435,02037,Aulnois-sous-Laon,138.46
3443,02038,Les Autels,9.85
3451,02039,Autremencourt,18.91
3459,02040,Autreppes,26.55
3467,02041,Autreville,227.32
3475,02042,Azy-sur-Marne,138.13
3483,02043,Bagneux,29.41
3491,02044,Bancigny,7.53
3499,02046,Barenton-Bugny,48.95
3507,02047,Barenton-Cel,16.14
3515,02048,Barenton-sur-Serre,16.52
3523,02049,Barisis-aux-Bois,48.91
3531,02050,Barzy-en-Thiérache,42.33
3539,02051,Barzy-sur-Marne,51.79
3547,02052,Bassoles-Aulers,19.2
3555,02053,Vallées en Champagne,13.85
3563,02054,Bazoches-et-Saint-Thibaut,39.79
3571,02055,Beaumé,9.59
3579,02056,Beaumont-en-Beine,33.09
3587,02057,Beaurevoir,64.7
3595,02058,Beaurieux,88.34
3603,02059,Beautor,364.78
3611,02060,Beauvois-en-Vermandois,34.22
3619,02061,Becquigny,52.68
3627,02062,Belleau,20.39
3635,02063,Bellenglise,59.06
3643,02064,Belleu,845.92
3651,02065,Bellicourt,61.41
3659,02066,Benay,28.78
3667,02067,Bergues-sur-Sambre,47.62
3675,02068,Berlancourt,16.92
3683,02069,Berlise,15.93
3691,02070,Bernot,26.87
3699,02071,Berny-Rivière,83.61
3707,02072,Berrieux,37.35
3715,02073,Berry-au-Bac,82.72
3723,02074,Bertaucourt-Epourdon,79.49
3731,02075,Berthenicourt,63.52
3739,02076,Bertricourt,33.93
3747,02077,Berzy-le-Sec,32.42
3755,02078,Besmé,61.28
3763,02079,Besmont,9.39
3771,02080,Besny-et-Loizy,34.12
3779,02081,Béthancourt-en-Vaux,100.93
3787,02082,Beugneux,14.32
3795,02083,Beuvardes,47.89
3803,02084,Bézu-le-Guéry,23.15
3811,02085,Bézu-Saint-Germain,91.19
3819,02086,Bichancourt,130.14
3827,02087,Bieuxy,7.56
3835,02088,Bièvres,34.85
3843,02089,Billy-sur-Aisne,153.68
3851,02090,Billy-sur-Ourcq,20.35
3859,02091,Blanzy-lès-Fismes,18.03
3867,02093,Blérancourt,120.19
3875,02094,Blesmes,47.84
3883,02095,Bohain-en-Vermandois,179.14
3891,02096,Bois-lès-Pargny,19.09
3899,02097,Boncourt,19.26
3907,02098,Bonneil,179.62
3915,02099,Bonnesvalyn,34.86
3923,02100,Bony,17.29
3931,02101,Bosmont-sur-Serre,19.83
3939,02102,Bouconville-Vauclair,14.65
3947,02103,Boué,128.26
3955,02104,Bouffignereux,22.71
3963,02105,Bouresches,26.06
3971,02106,Bourg-et-Comin,158.2
3979,02107,Bourguignon-sous-Coucy,38.21
3987,02108,Bourguignon-sous-Montbavin,82.81
3995,02109,La Bouteille,25
4003,02110,Braine,192.51
4011,02111,Brancourt-en-Laonnois,109.91
4019,02112,Brancourt-le-Grand,42.09
4027,02114,Brasles,209.8
4035,02115,Braye-en-Laonnois,23.49
4043,02116,Braye-en-Thiérache,16.03
4051,02117,Bray-Saint-Christophe,23.61
4059,02118,Braye,96.27
4067,02119,Brécy,32.77
4075,02120,Brenelle,45.16
4083,02121,Breny,53.1
4091,02122,Brie,19.29
4099,02123,Brissay-Choigny,33.52
4107,02124,Brissy-Hamégicourt,52.58
4115,02125,Brumetz,26.66
4123,02126,Brunehamel,51.12
4131,02127,Bruyères-sur-Fère,21.22
4139,02128,Bruyères-et-Montbérault,127.05
4147,02129,Bruys,3.16
4155,02130,Bucilly,15.1
4163,02131,Bucy-le-Long,144.71
4171,02132,Bucy-lès-Cerny,22.2
4179,02133,Bucy-lès-Pierrepont,27.94
4187,02134,Buire,208.72
4195,02135,Buironfosse,65.74
4203,02136,Burelles,9.26
4211,02137,Bussiares,21.62
4219,02138,Buzancy,42.11
4227,02139,Caillouël-Crépigny,66.67
4235,02140,Camelin,49.84
4243,02141,La Capelle,145.02
4251,02142,Castres,44.31
4259,02143,Le Catelet,451.22
4267,02144,Caulaincourt,24.16
4275,02145,Caumont,95.45
4283,02146,Celles-lès-Condé,24.04
4291,02148,Celles-sur-Aisne,41.4
4299,02149,Cerizy,15.5
4307,02150,Cerny-en-Laonnois,8.73
4315,02151,Cerny-lès-Bucy,36.36
4323,02152,Cerseuil,19.31
4331,02153,Cessières-Suzy,37.8
4339,02154,Chacrise,28.65
4347,02155,Chaillevois,76.5
4355,02156,Chalandry,33.55
4363,02157,Chambry,94.04
4371,02158,Chamouille,81.74
4379,02159,Champs,32.21
4387,02160,Chaourse,29.25
4395,02162,La Chapelle-sur-Chézy,36.84
4403,02163,Charly-sur-Marne,125.97
4411,02164,Le Charmel,33.06
4419,02165,Charmes,451.91
4427,02166,Chartèves,40.64
4435,02167,Chassemy,82.03
4443,02168,Château-Thierry,921.69
4451,02169,Châtillon-lès-Sons,7.95
4459,02170,Châtillon-sur-Oise,47.71
4467,02171,Chaudardes,18.72
4475,02172,Chaudun,29.58
4483,02173,Chauny,877.48
4491,02174,Chavignon,71.77
4499,02175,Chavigny,30.49
4507,02176,Chavonne,56.91
4515,02177,Chérêt,37.47
4523,02178,Chermizy-Ailles,9.68
4531,02179,Chéry-Chartreuve,28.12
4539,02180,Chéry-lès-Pouilly,41.87
4547,02181,Chéry-lès-Rozoy,16.7
4555,02182,Chevennes,19.31
4563,02183,Chevregny,20.9
4571,02184,Chevresis-Monceau,20.83
4579,02185,Chézy-en-Orxois,24.15
4587,02186,Chézy-sur-Marne,60.23
4595,02187,Chierry,402.13
4603,02188,Chigny,14.04
4611,02189,Chivres-en-Laonnois,25.81
4619,02190,Chivres-Val,93.5
4627,02191,Chivy-lès-Étouvelles,147.74
4635,02192,Chouy,18.52
4643,02193,Cierges,7.91
4651,02194,Cilly,20
4659,02195,Ciry-Salsogne,101.68
4667,02196,Clacy-et-Thierret,73.87
4675,02197,Clairfontaine,37.39
4683,02198,Clamecy,67.06
4691,02199,Clastres,72.94
4699,02200,Clermont-les-Fermes,11.4
4707,02201,Cœuvres-et-Valsery,35.22
4715,02203,Coincy,74.36
4723,02204,Coingt,8.89
4731,02205,Colligis-Crandelain,35.07
4739,02206,Colonfay,23.1
4747,02207,Commenchon,64.86
4755,02208,Concevreux,21.34
4763,02209,Condé-en-Brie,155.26
4771,02210,Condé-sur-Aisne,97.59
4779,02211,Condé-sur-Suippe,50.43
4787,02212,Condren,126.88
4795,02213,Connigis,62.82
4803,02214,Contescourt,17.84
4811,02215,Corbeny,55.22
4819,02216,Corcy,40.55
4827,02217,Coucy-le-Château-Auffrique,86.56
4835,02218,Coucy-lès-Eppes,104.15
4843,02219,Coucy-la-Ville,32.73
4851,02220,Coulonges-Cohan,15.17
4859,02221,Coupru,19.44
4867,02222,Courbes,10.13
4875,02223,Courboin,21.39
4883,02224,Courcelles-sur-Vesle,39.27
4891,02225,Courchamps,30.88
4899,02226,Courmelles,275.59
4907,02227,Courmont,12.17
4915,02228,Courtemont-Varennes,56.69
4923,02229,Courtrizy-et-Fussigny,16.82
4931,02230,Couvrelles,24.8
4939,02231,Couvron-et-Aumencourt,70.59
4947,02232,Coyolles,14.75
4955,02233,Cramaille,17.86
4963,02234,Craonne,9.63
4971,02235,Craonnelle,19.46
4979,02236,Crécy-au-Mont,27.9
4987,02237,Crécy-sur-Serre,83.91
4995,02238,Crépy,65.56
5003,02239,Crézancy,176.2
5011,02240,Croix-Fonsomme,23.27
5019,02241,La Croix-sur-Ourcq,9.19
5027,02242,Crouttes-sur-Marne,148.04
5035,02243,Crouy,281.6
5043,02244,Crupilly,17.9
5051,02245,Cuffies,359.56
5059,02246,Cugny,65
5067,02248,Cuirieux,24.15
5075,02249,Cuiry-Housse,11.71
5083,02250,Cuiry-lès-Chaudardes,14.17
5091,02251,Cuiry-lès-Iviers,5.64
5099,02252,Cuissy-et-Geny,14.29
5107,02253,Cuisy-en-Almont,39.04
5115,02254,Cutry,26.93
5123,02255,Cys-la-Commune,34.85
5131,02256,Dagny-Lambercy,12.85
5139,02257,Dallon,75.22
5147,02258,Dammard,46.48
5155,02259,Dampleux,47.86
5163,02260,Danizy,144.77
5171,02261,Dercy,35
5179,02262,Deuillet,56.12
5187,02263,Dhuizel,16.45
5195,02264,Dizy-le-Gros,36.57
5203,02265,Dohis,12.22
5211,02266,Dolignon,13.61
5219,02267,Dommiers,40.33
5227,02268,Domptin,141.89
5235,02269,Dorengt,14.76
5243,02270,Douchy,32.48
5251,02271,Dravegny,8.3
5259,02272,Droizy,14.39
5267,02273,Dury,26.74
5275,02274,Ébouleau,14.97
5283,02275,Effry,115.16
5291,02276,Englancourt,14.68
5299,02277,Épagny,31.09
5307,02278,Éparcy,3.72
5315,02279,Épaux-Bézu,28.36
5323,02280,Épieds,21.92
5331,02281,L'Épine-aux-Bois,20.7
5339,02282,Eppes,55.38
5347,02283,Erlon,32.25
5355,02284,Erloy,13.71
5363,02286,Esquéhéries,53.49
5371,02287,Essigny-le-Grand,78.33
5379,02288,Essigny-le-Petit,76.6
5387,02289,Essises,56.22
5395,02290,Essômes-sur-Marne,96.15
5403,02291,Estrées,58.24
5411,02292,Étampes-sur-Marne,582.59
5419,02293,Étaves-et-Bocquiaux,40.42
5427,02294,Étouvelles,86.97
5435,02295,Étréaupont,48.49
5443,02296,Étreillers,137.74
5451,02297,Étrépilly,23.59
5459,02298,Étreux,137.07
5467,02299,Évergnicourt,59.67
5475,02302,Faverolles,23.28
5483,02303,Fayet,116.04
5491,02304,La Fère,421.69
5499,02305,Fère-en-Tardenois,147.11
5507,02306,La Ferté-Chevresis,21.32
5515,02307,La Ferté-Milon,112.26
5523,02308,Fesmy-le-Sart,29.64
5531,02309,Festieux,100.6
5539,02310,Fieulaine,32.04
5547,02311,Filain,25.1
5555,02312,La Flamengrie,41.62
5563,02313,Flavigny-le-Grand-et-Beaurain,32.58
5571,02315,Flavy-le-Martel,130.09
5579,02316,Fleury,19.66
5587,02317,Fluquières,41.6
5595,02318,Folembray,156.05
5603,02319,Fonsomme,51.04
5611,02320,Fontaine-lès-Clercs,44.47
5619,02321,Fontaine-lès-Vervins,45.64
5627,02322,Fontaine-Notre-Dame,32.44
5635,02323,Fontaine-Uterte,23.22
5643,02324,Fontenelle,26.84
5651,02326,Fontenoy,52.05
5659,02327,Foreste,33
5667,02328,Fossoy,71.45
5675,02329,Fourdrain,44.97
5683,02330,Francilly-Selency,97.61
5691,02331,Franqueville,36.18
5699,02332,Fresnes-en-Tardenois,29.98
5707,02333,Fresnes-sous-Coucy,22.47
5715,02334,Fresnoy-le-Grand,196.28
5723,02335,Fressancourt,72.91
5731,02336,Frières-Faillouël,64.42
5739,02337,Froidestrées,34.22
5747,02338,Froidmont-Cohartille,28.6
5755,02339,Gandelu,68.79
5763,02340,Gauchy,838.94
5771,02341,Gercy,42.34
5779,02342,Gergny,22.87
5787,02343,Germaine,17.84
5795,02345,Gibercourt,15.24
5803,02346,Gizy,64.78
5811,02347,Gland,78.58
5819,02349,Goudelancourt-lès-Berrieux,10.11
5827,02350,Goudelancourt-lès-Pierrepont,15.58
5835,02351,Goussancourt,13.4
5843,02352,Gouy,31.82
5851,02353,Grandlup-et-Fay,14.14
5859,02354,Grandrieux,18.39
5867,02355,Gricourt,96.07
5875,02356,Grisolles,22.58
5883,02357,Gronard,10
5891,02358,Grougis,29.57
5899,02359,Grugies,256.1
5907,02360,Villeneuve-sur-Aisne,109.91
5915,02361,Guise,287.97
5923,02362,Guivry,33.29
5931,02363,Guny,41.85
5939,02364,Guyencourt,61.43
5947,02366,Hannapes,35.37
5955,02367,Happencourt,25.1
5963,02368,Haramont,46.9
5971,02369,Harcigny,31.97
5979,02370,Hargicourt,75.12
5987,02371,Harly,419.68
5995,02372,Hartennes-et-Taux,54.99
6003,02373,Hary,17.84
6011,02374,Lehaucourt,91.89
6019,02375,Hautevesnes,21.81
6027,02376,Hauteville,24.51
6035,02377,Haution,14.45
6043,02378,La Hérie,30.57
6051,02379,Le Hérie-la-Viéville,22.55
6059,02380,Hinacourt,7.77
6067,02381,Hirson,257.92
6075,02382,Holnon,214.6
6083,02383,Homblières,101.61
6091,02384,Houry,16.09
6099,02385,Housset,12.12
6107,02386,Iron,23.66
6115,02387,Itancourt,142.76
6123,02388,Iviers,30.2
6131,02389,Jaulgonne,370.22
6139,02390,Jeancourt,45.36
6147,02391,Jeantes,13.2
6155,02392,Joncourt,42.9
6163,02393,Jouaignes,17.98
6171,02395,Jumencourt,22.74
6179,02396,Jumigny,25.7
6187,02397,Jussy,93.64
6195,02398,Juvigny,20.51
