id_city,id_reg,id_dep,city_name,dens_pop,density_degree,density_type,total_pop_2019,no_commute_pop,work_commute_perc
57312,44,57,Helstroff,63.97,6,"Rural à habitat dispersé",506,41.1382,91.8699
57313,44,57,Hémilly,10.04,6,"Rural à habitat dispersé",141,15,89.3617
57314,44,57,Héming,134.42,6,"Rural à habitat dispersé",496,59.646,87.9746
57315,44,57,Henridorff,97.4,6,"Rural à habitat dispersé",712,30.7157,95.686
57316,44,57,Henriville,188.35,6,"Rural à habitat dispersé",744,30,95.9677
57317,44,57,Hérange,39.56,6,"Rural à habitat dispersé",108,5.09434,95.283
57318,44,57,Hermelange,83.33,6,"Rural à habitat dispersé",215,10,95.3488
57319,44,57,Herny,54.05,6,"Rural à habitat dispersé",521,41.1091,92.1096
57320,44,57,Hertzing,118.83,6,"Rural à habitat dispersé",183,NULL,NULL
57321,44,57,Hesse,43.81,5,"Bourgs ruraux",563,30.2147,94.6333
57322,44,57,Hestroff,62.72,6,"Rural à habitat dispersé",466,29.4937,93.6709
57323,44,57,Hettange-Grande,478.12,4,"Ceintures urbaines",7779,492.146,93.6734
57324,44,57,Hilbesheim,82.05,6,"Rural à habitat dispersé",617,15.8502,97.4311
57325,44,57,Hilsprich,80.46,6,"Rural à habitat dispersé",832,53.7464,93.5401
57326,44,57,Hinckange,54.86,6,"Rural à habitat dispersé",333,14.6991,95.5859
57328,44,57,Holacourt,30.48,6,"Rural à habitat dispersé",89,5,94.382
57329,44,57,Holling,89.09,6,"Rural à habitat dispersé",433,10.0698,97.6744
57330,44,57,Holving,119.35,6,"Rural à habitat dispersé",1283,40.0938,96.875
57331,44,57,Hombourg-Budange,35.17,6,"Rural à habitat dispersé",543,25,95.396
57332,44,57,Hombourg-Haut,512.9,4,"Ceintures urbaines",6283,330.542,94.7391
57333,44,57,Hommarting,81.16,5,"Bourgs ruraux",827,45,94.5586
57334,44,57,Hommert,92.84,6,"Rural à habitat dispersé",324,14.3312,95.5768
57335,44,57,Honskirch,33.74,6,"Rural à habitat dispersé",221,10,95.4751
57336,44,57,L'Hôpital,1310.53,2,"Centres urbains intermédiaires",5229,205,96.0796
57337,44,57,Hoste,62.62,6,"Rural à habitat dispersé",593,10.1541,98.2877
57338,44,57,Hottviller,61.6,6,"Rural à habitat dispersé",515,64.5104,87.4737
57339,44,57,Hultehouse,80.13,6,"Rural à habitat dispersé",367,19.7885,94.608
57340,44,57,Hundling,202.87,5,"Bourgs ruraux",1345,64.9447,95.1714
57341,44,57,Hunting,187.04,5,"Bourgs ruraux",707,19.8311,97.195
57342,44,57,Ibigny,20.13,6,"Rural à habitat dispersé",96,4.8,95
57343,44,57,Illange,324.78,4,"Ceintures urbaines",1835,115.733,93.693
57344,44,57,Imling,120.13,6,"Rural à habitat dispersé",734,30.5566,95.837
57345,44,57,Inglange,73.78,5,"Bourgs ruraux",422,30.7814,92.7058
57346,44,57,Insming,81.83,6,"Rural à habitat dispersé",590,40.7921,93.0861
57347,44,57,Insviller,20.86,6,"Rural à habitat dispersé",174,9.72067,94.4134
57348,44,57,Ippling,242.25,5,"Bourgs ruraux",797,50.5514,93.6573
57349,44,57,Jallaucourt,18.31,6,"Rural à habitat dispersé",154,5.2027,96.6216
57350,44,57,Jouy-aux-Arches,239.27,4,"Ceintures urbaines",1438,112.779,92.1572
57351,44,57,Jury,385.8,6,"Rural à habitat dispersé",1223,73.8668,93.9602
57352,44,57,Jussy,152.92,4,"Ceintures urbaines",445,19.9552,95.5157
57353,44,57,Juvelize,9.21,6,"Rural à habitat dispersé",72,5,93.0556
57354,44,57,Juville,20.17,6,"Rural à habitat dispersé",122,5.12605,95.7983
57355,44,57,Kalhausen,59.62,6,"Rural à habitat dispersé",806,35,95.6576
57356,44,57,Kanfen,140.94,5,"Bourgs ruraux",1198,47.4177,96.0419
57357,44,57,Kappelkinger,47.09,6,"Rural à habitat dispersé",404,9.92629,97.543
57358,44,57,Kédange-sur-Canner,276.21,5,"Bourgs ruraux",1080,65,93.9815
57359,44,57,Kemplich,30.69,6,"Rural à habitat dispersé",170,5.02959,97.0414
57360,44,57,Kerbach,269.44,4,"Ceintures urbaines",1199,51.5278,95.7024
57361,44,57,Kerling-lès-Sierck,33.56,6,"Rural à habitat dispersé",598,15.2137,97.4559
57362,44,57,Kerprich-aux-Bois,26.98,6,"Rural à habitat dispersé",174,5.6129,96.7742
57364,44,57,Kirsch-lès-Sierck,35.25,6,"Rural à habitat dispersé",312,4.96815,98.4076
57365,44,57,Kirschnaumen,23.78,6,"Rural à habitat dispersé",474,20.1274,95.7537
57366,44,57,Kirviller,54.72,6,"Rural à habitat dispersé",139,5.03623,96.3768
57367,44,57,Klang,53.7,6,"Rural à habitat dispersé",225,15.4817,93.1193
57368,44,57,Knutange,1313.58,1,"Grands centres urbains",3192,190.259,94.0395
57370,44,57,Kœnigsmacker,122.61,5,"Bourgs ruraux",2256,130.963,94.1949
57371,44,57,Haute-Kontz,91.11,5,"Bourgs ruraux",584,34.782,94.0442
57372,44,57,Kuntzig,300.89,5,"Bourgs ruraux",1357,72.696,94.6429
57373,44,57,Lachambre,118.58,5,"Bourgs ruraux",932,41.1716,95.5824
57374,44,57,Lafrimbolle,18.47,6,"Rural à habitat dispersé",198,14.703,92.5743
57375,44,57,Lagarde,8.36,6,"Rural à habitat dispersé",186,9.78842,94.7374
57376,44,57,Lambach,90.97,6,"Rural à habitat dispersé",504,24.869,95.0657
57377,44,57,Landange,50.1,6,"Rural à habitat dispersé",243,20.0826,91.7355
57379,44,57,Landroff,35.32,6,"Rural à habitat dispersé",273,20,92.674
57380,44,57,Laneuveville-lès-Lorquin,47.32,6,"Rural à habitat dispersé",106,NULL,NULL
57381,44,57,Laneuveville-en-Saulnois,44.99,6,"Rural à habitat dispersé",292,5.1049,98.2517
57382,44,57,Langatte,42.95,6,"Rural à habitat dispersé",557,62.147,88.8426
57383,44,57,Languimberg,8.92,7,"Rural à habitat très dispersé",164,25.625,84.375
57384,44,57,Laning,92.4,6,"Rural à habitat dispersé",620,45.5145,92.6589
57385,44,57,Laquenexy,134.21,5,"Bourgs ruraux",1220,48.4897,96.0254
57386,44,57,Laudrefang,73.4,6,"Rural à habitat dispersé",345,30.3554,91.2013
57387,44,57,Laumesfeld,34.94,6,"Rural à habitat dispersé",290,10.2043,96.4813
57388,44,57,Launstroff,34.19,6,"Rural à habitat dispersé",267,10.1908,96.1832
57389,44,57,Lelling,95.73,6,"Rural à habitat dispersé",471,20,95.7537
57390,44,57,Lemberg,130.9,5,"Bourgs ruraux",1432,75.6338,94.7183
57391,44,57,Lemoncourt,12.01,7,"Rural à habitat très dispersé",65,NULL,NULL
57392,44,57,Lemud,124.29,6,"Rural à habitat dispersé",527,41.5395,92.1177
57393,44,57,Lengelsheim,38.87,6,"Rural à habitat dispersé",206,10.0488,95.1219
57394,44,57,Léning,52.39,6,"Rural à habitat dispersé",340,20.0606,94.0998
