,city_name,id_city,no_commute_pop
15918,Blanzy-lès-Fismes,02091,10.0
15925,Blérancourt,02093,155.898636821253
15961,Blesmes,02094,30.9680117551951
15979,Bohain-en-Vermandois,02095,615.0
16034,Bois-lès-Pargny,02096,14.5566502463054
16043,Boncourt,02097,24.4305288895498
16052,Bonneil,02098,55.5993057139368
16071,Bonnesvalyn,02099,5.0
16087,Bony,02100,10.0
16095,Bosmont-sur-Serre,02101,14.6938775510204
16103,Bouconville-Vauclair,02102,10.3243243243243
16111,Boué,02103,224.513608137389
16130,Bouffignereux,02104,10.0
16136,Bouresches,02105,30.4663212435233
16147,Bourg-et-Comin,02106,59.728468570978
16168,Bourguignon-sous-Coucy,02107,10.1904761904762
16178,La Bouteille,02109,45.0
16193,Braine,02110,339.543298151352
16234,Brancourt-en-Laonnois,02111,51.111970732413
16262,Brancourt-le-Grand,02112,42.9100141385354
16280,Brasles,02114,106.798947336835
16312,Braye-en-Laonnois,02115,9.74358974358974
16322,Braye-en-Thiérache,02116,5.06896551724138
16339,Brécy,02119,25.4672897196262
16355,Brenelle,02120,10.0
16365,Breny,02121,4.91803278688525
16378,Brie,02122,14.7272727272727
16381,Brissay-Choigny,02123,31.3290259370045
16395,Brissy-Hamégicourt,02124,29.9113806301838
16419,Brumetz,02125,21.0655712019642
16432,Brunehamel,02126,59.9984494228219
16441,Bruyères-sur-Fère,02127,5.0
16457,Bruyères-et-Montbérault,02128,76.4512785072568
16493,Bruys,02129,9.47368421052632
16496,Bucilly,02130,15.0777202072539
16508,Bucy-le-Long,02131,109.277158446605
16547,Bucy-lès-Cerny,02132,9.84771573604061
16556,Bucy-lès-Pierrepont,02133,29.9822701187798
16573,Buire,02134,49.9128932527235
16594,Buironfosse,02135,172.207955597929
16625,Burelles,02136,20.0
16646,Buzancy,02138,31.5789473684211
16655,Caillouël-Crépigny,02139,30.3028980059792
16679,Camelin,02140,45.0109494788999
16700,La Capelle,02141,313.556835918145
16725,Castres,02142,5.1844262295082
16735,Le Catelet,02143,28.90625
16749,Caumont,02145,10.0
16781,Celles-sur-Aisne,02148,5.01227559876329
16793,Cerizy,02149,5.16666666666667
16797,Cerny-en-Laonnois,02150,5.08064516129032
16806,Cerseuil,02152,20.0
16809,Cessières-Suzy,02153,57.1833326209567
16831,Chacrise,02154,20.0
16846,Chaillevois,02155,9.32584269662921
16854,Chalandry,02156,10.1581027667984
16866,Chambry,02157,75.1798561151073
16881,Chamouille,02158,20.0
16891,Champs,02159,14.6523178807947
16909,Chaourse,02160,55.7400296317286
16922,La Chapelle-sur-Chézy,02162,9.76510067114094
16939,Charly-sur-Marne,02163,333.518463933505
17012,Le Charmel,02164,4.96894409937889
17030,Charmes,02165,85.2929368078597
17068,Chartèves,02166,10.0
17091,Chassemy,02167,50.0
17129,Château-Thierry,02168,2774.98432657808
17336,Châtillon-lès-Sons,02169,30.3614457831325
17341,Châtillon-sur-Oise,02170,10.0806451612903
17357,Chaudun,02172,15.12
17389,Chauny,02173,1784.27324510088
17576,Chavignon,02174,44.6766467065868
17599,Chavigny,02175,15.2848101265823
17619,Chérêt,02177,10.0
17624,Chermizy-Ailles,02178,10.0
17631,Chéry-Chartreuve,02179,30.3149606299213
17651,Chéry-lès-Pouilly,02180,29.7933884297521
17667,Chéry-lès-Rozoy,02181,4.75903614457831
17672,Chevennes,02182,14.04
17681,Chevregny,02183,25.0
17694,Chevresis-Monceau,02184,19.9987934327429
17709,Chézy-en-Orxois,02185,20.0
17729,Chézy-sur-Marne,02186,180.322653610085
17770,Chierry,02187,93.0343762933408
17788,Chigny,02188,19.6
17799,Chivres-en-Laonnois,02189,43.7256405664783
17818,Chivres-Val,02190,20.0768826082058
17834,Chivy-lès-Étouvelles,02191,41.4008706594951
17848,Chouy,02192,20.0
17870,Cierges,02193,15.234375
17873,Cilly,02194,9.63730569948187
17887,Ciry-Salsogne,02195,91.0
17915,Clacy-et-Thierret,02196,4.44751367393579
17924,Clairfontaine,02197,55.0
17950,Clamecy,02198,5.0
17960,Clastres,02199,10.0
17985,Clermont-les-Fermes,02200,5.0
17988,Cœuvres-et-Valsery,02201,24.9116425739246
18015,Coincy,02203,78.250789982118
18042,Coingt,02204,5.078125
18048,Colligis-Crandelain,02205,15.6849315068493
18058,Colonfay,02206,9.74358974358974
18065,Commenchon,02207,4.97695852534562
18076,Concevreux,02208,5.09541984732824
18093,Condé-en-Brie,02209,124.054492387908
18115,Condé-sur-Aisne,02210,5.0
18131,Condé-sur-Suippe,02211,10.6431470007675
18146,Condren,02212,60.4343231313609
18168,Connigis,02213,46.8124729312554
18177,Contescourt,02214,5.0
18188,Corbeny,02215,75.6392901518363
18211,Corcy,02216,18.8633217482535
18226,Coucy-le-Château-Auffrique,02217,138.60939982993
18251,Coucy-lès-Eppes,02218,105.351628805743
18269,Coucy-la-Ville,02219,30.4667647527997
18276,Coulonges-Cohan,02220,65.2440240538722
18290,Coupru,02221,9.87012987012987
18302,Courbes,02222,5.33333333333333
18309,Courboin,02223,25.0
18323,Courcelles-sur-Vesle,02224,40.5679231076644
18350,Courmelles,02226,35.8340214831679
18391,Courmont,02227,10.0
18402,Courtemont-Varennes,02228,15.4012059217138
18412,Courtrizy-et-Fussigny,02229,9.59459459459459
18419,Couvrelles,02230,15.0003558144432
18433,Couvron-et-Aumencourt,02231,30.1777460318874
18450,Coyolles,02232,58.3455991911947
18461,Cramaille,02233,10.1398601398601
18473,Craonne,02234,4.94047619047619
18488,Crécy-au-Mont,02236,30.0
18502,Crécy-sur-Serre,02237,235.626473658899
18528,Crépy,02238,99.4571222273794
18563,Crézancy,02239,35.5104061612187
18595,Croix-Fonsomme,02240,16.5151515151515
18614,Crouttes-sur-Marne,02242,64.2477451701984
18658,Crouy,02243,186.275187268958
18708,Cuffies,02245,95.330627969761
18740,Cugny,02246,19.9525533655203
18766,Cuirieux,02248,15.0
18777,Cuiry-Housse,02249,14.7058823529412
18781,Cuiry-lès-Chaudardes,02250,4.80263157894737
18792,Cuisy-en-Almont,02253,20.0459214973175
18820,Cys-la-Commune,02255,5.0
18832,Dagny-Lambercy,02256,5.16
18837,Dallon,02257,10.0606770388422
18849,Dammard,02258,24.9985284957615
18874,Dampleux,02259,14.7097076613967
18906,Danizy,02260,24.9926206748764
18927,Dercy,02261,15.0
18942,Deuillet,02262,25.0
18952,Dhuizel,02263,5.0
18963,Dizy-le-Gros,02264,90.0
18982,Dohis,02265,5.10309278350515
18986,Dolignon,02266,9.38775510204082
18992,Dommiers,02267,15.0
19009,Domptin,02268,44.3893956360999
19039,Dorengt,02269,15.0974025974026
19049,Douchy,02270,20.1226993865031
19058,Dravegny,02271,4.92424242424242
19068,Droizy,02272,5.27027027027027
