,id_city,city_name,density_degree,density_type,total_pop_2019
250,01295,Peyzieux-sur-Saône,6,Rural à habitat dispersé,686
251,01296,Pirajoux,6,Rural à habitat dispersé,420
252,01297,Pizay,6,Rural à habitat dispersé,867
253,01298,Plagne,6,Rural à habitat dispersé,150
254,01299,Le Plantay,6,Rural à habitat dispersé,584
255,01301,Polliat,5,Bourgs ruraux,2547
256,01302,Pollieu,6,Rural à habitat dispersé,163
257,01303,Poncin,5,Bourgs ruraux,1699
258,01304,Pont-d'Ain,5,Bourgs ruraux,2924
259,01305,Pont-de-Vaux,5,Bourgs ruraux,2213
260,01306,Pont-de-Veyle,5,Bourgs ruraux,1641
261,01307,Port,3,Petites villes,836
262,01308,Pougny,5,Bourgs ruraux,807
263,01309,Pouillat,7,Rural à habitat très dispersé,85
264,01310,Prémeyzel,6,Rural à habitat dispersé,251
265,01311,Prémillieu,7,Rural à habitat très dispersé,44
266,01313,Prévessin-Moëns,4,Ceintures urbaines,8711
267,01314,Priay,6,Rural à habitat dispersé,1729
268,01317,Ramasse,6,Rural à habitat dispersé,330
269,01318,Rancé,6,Rural à habitat dispersé,726
270,01319,Relevant,6,Rural à habitat dispersé,466
271,01320,Replonges,5,Bourgs ruraux,3791
272,01321,Revonnas,6,Rural à habitat dispersé,888
273,01322,Reyrieux,4,Ceintures urbaines,4984
274,01323,Reyssouze,5,Bourgs ruraux,989
275,01325,Rignieux-le-Franc,5,Bourgs ruraux,1032
276,01328,Romans,6,Rural à habitat dispersé,597
277,01329,Rossillon,6,Rural à habitat dispersé,153
278,01330,Ruffieu,6,Rural à habitat dispersé,182
279,01331,Saint-Alban,6,Rural à habitat dispersé,187
280,01332,Saint-André-de-Bâgé,5,Bourgs ruraux,779
281,01333,Saint-André-de-Corcy,5,Bourgs ruraux,3369
282,01334,Saint-André-d'Huiriat,6,Rural à habitat dispersé,658
283,01335,Saint-André-le-Bouchoux,6,Rural à habitat dispersé,402
284,01336,Saint-André-sur-Vieux-Jonc,6,Rural à habitat dispersé,1174
285,01337,Saint-Bénigne,6,Rural à habitat dispersé,1311
286,01338,Groslée-Saint-Benoit,6,Rural à habitat dispersé,1227
287,01339,Saint-Bernard,4,Ceintures urbaines,1463
288,01342,Sainte-Croix,6,Rural à habitat dispersé,554
289,01343,Saint-Cyr-sur-Menthon,6,Rural à habitat dispersé,1793
290,01344,Saint-Denis-lès-Bourg,2,Centres urbains intermédiaires,5943
