journey_id,time,journey_start_lon,journey_start_lat,cluster
7722506,16:20:00,2.221,48.87,8
7722570,16:20:00,2.349,49.15,5
7722569,16:20:00,2.349,49.15,5
7743227,16:20:00,2.794,48.502,23
7781091,16:20:00,2.443,48.954,27
7781071,16:20:00,1.943,48.755,2
7781101,16:20:00,2.488,49.011,18
7781100,16:20:00,2.317,48.844,11
7722369,16:20:00,2.429,48.851,27
7722603,16:20:00,2.406,48.846,11
7722577,16:20:00,2.349,49.15,5
7723984,16:20:00,2.327,48.843,11
7723839,16:30:00,2.692,48.536,24
7745680,16:30:00,2.527,48.951,18
7781674,16:30:00,2.048,49.059,15
7725950,16:30:00,1.924,49.0,9
7722701,16:30:00,1.974,48.79,2
7722367,16:30:00,2.342,48.785,1
7722673,16:30:00,2.324,48.819,11
7781734,16:30:00,2.743,48.425,23
7781729,16:30:00,2.048,48.796,26
7781727,16:30:00,2.755,48.856,0
7781724,16:30:00,2.133,49.051,15
7781720,16:30:00,2.517,49.003,18
7781719,16:30:00,2.755,48.425,23
7781716,16:30:00,2.549,49.085,18
7781686,16:30:00,2.461,48.794,17
7722473,16:30:00,2.395,48.978,5
7722472,16:30:00,2.395,48.978,5
7722388,16:30:00,2.488,48.84,17
7722386,16:30:00,2.488,48.84,17
7724145,16:30:00,1.922,48.998,9
7723848,16:30:00,2.692,48.536,24
7781691,16:30:00,1.719,48.981,12
7781665,16:30:00,1.719,48.981,12
7745431,16:30:00,2.327,48.842,11
7745673,16:30:00,2.341,48.785,1
7781765,16:30:00,2.496,48.817,17
7781768,16:30:00,1.719,48.981,12
7781769,16:30:00,2.69,48.533,24
7781723,16:30:00,2.274,48.792,22
7745674,16:30:00,2.341,48.785,1
7781733,16:30:00,2.607,48.614,4
7781770,16:30:00,2.496,48.817,17
7781753,16:30:00,1.952,48.825,2
7781751,16:30:00,2.359,48.744,1
7781740,16:30:00,2.559,48.961,18
7745637,16:30:00,2.704,48.262,20
7744410,16:30:00,2.232,48.994,3
7745670,16:30:00,2.035,48.71,26
7722645,16:30:00,2.371,48.823,11
7722643,16:30:00,2.371,48.823,11
7722476,16:30:00,3.128,48.949,29
7743373,16:30:00,1.856,48.974,9
7722463,16:30:00,2.267,48.948,3
7722462,16:30:00,2.267,48.948,3
7722599,16:30:00,2.185,48.861,8
7722671,16:30:00,2.324,48.819,11
7722670,16:30:00,2.324,48.819,11
7723672,16:30:00,2.651,48.605,24
7781690,16:30:00,2.135,49.043,15
7722451,16:30:00,2.146,48.998,15
7722579,16:30:00,2.743,48.425,23
7723844,16:30:00,2.692,48.536,24
7745677,16:30:00,2.522,48.953,18
7781763,16:30:00,2.62,48.84,6
7781758,16:30:00,2.031,49.051,15
7781721,16:30:00,2.366,48.759,1
7781730,16:30:00,2.23,48.829,22
7745642,16:30:00,2.583,48.836,6
7722464,16:30:00,2.267,48.948,3
7745671,16:30:00,2.638,48.867,6
7722387,16:30:00,2.488,48.84,17
7781687,16:30:00,2.607,48.614,4
7745682,16:30:00,2.82,48.851,0
7744482,16:30:00,2.217,48.782,22
7745690,16:40:00,1.843,48.974,9
7723627,16:40:00,2.798,49.036,16
7735071,16:40:00,2.798,49.036,16
